,mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
351,0.025425993,-0.003629163,-0.0014636253,0.06301463,0.026705027,0.008728981,0.0032825584,0.07786195,0.91885555
352,0.025583409,-0.0032112151,-0.0013645028,0.06323832,0.0268358,0.008783817,0.0033044848,0.07803596,0.9186595
353,0.02600237,-0.001000002,-0.00066689006,0.06360471,0.027071476,0.008874714,0.003343825,0.07832399,0.91833216
354,0.025487863,-0.004982069,-0.0021634435,0.062654436,0.026499271,0.008644223,0.0032450932,0.07754816,0.91920674
355,0.025638662,-0.0025684386,-0.0011217331,0.0632841,0.02686894,0.008795023,0.0033102487,0.078075804,0.918614
356,0.025356434,-0.005410865,-0.0021917557,0.06300706,0.026680887,0.008727491,0.0032777877,0.07784184,0.9188804
357,0.025027893,-0.0054384023,-0.0020241474,0.06256586,0.026431024,0.008619249,0.0032367073,0.07750805,0.91925526
358,0.025201343,-0.004824713,-0.0017568206,0.06329751,0.026838362,0.008795321,0.0033071954,0.0780975,0.9185953
359,0.024890386,-0.0063350946,-0.0022831296,0.06263727,0.026455998,0.008635342,0.0032417004,0.07756771,0.9191906
360,0.02497127,-0.0050638467,-0.0017559265,0.06282145,0.026570678,0.00867933,0.0032619233,0.07772555,0.9190125
361,0.02492889,-0.005361989,-0.001951549,0.062306643,0.026288688,0.008556664,0.0032126852,0.07730474,0.9194826
362,0.024871133,-0.005000308,-0.0018503403,0.061766088,0.025999427,0.008428216,0.003162917,0.076869704,0.91996735
363,0.024625324,-0.0049612075,-0.0019695496,0.060136437,0.025119245,0.008045971,0.0030126916,0.07554232,0.921445
364,0.025068901,-0.0035898238,-0.0014786457,0.06138432,0.025814593,0.0083396435,0.0031300036,0.076554835,0.92031515
365,0.024907075,-0.004313901,-0.0018722748,0.060356498,0.025251985,0.0080990195,0.0030336617,0.075709775,0.9212565
366,0.025147341,-0.0037561208,-0.0016059016,0.061433434,0.025842011,0.008351922,0.003134027,0.076587245,0.92027867
367,0.025345586,-0.003264621,-0.0014682149,0.061879516,0.026093245,0.008458495,0.0031763788,0.07694363,0.91988
368,0.025506817,-0.0025989562,-0.001287434,0.061990857,0.026165187,0.008485973,0.0031879793,0.07702931,0.91978276
369,0.025631271,-0.003413871,-0.0015430783,0.06296253,0.026686192,0.008718312,0.0032776315,0.07780515,0.91891724
370,0.02578374,-0.0020511895,-0.0010597443,0.063061714,0.02675867,0.008742869,0.0032899128,0.0778886,0.9188215
371,0.02581539,-0.0031535178,-0.001477394,0.06349349,0.026982903,0.008847296,0.0033284517,0.078225166,0.91844636
372,0.02622547,-0.00031872094,-0.00047198287,0.06403792,0.027321875,0.008981168,0.0033866114,0.0786644,0.91794896
373,0.026250564,-0.002323106,-0.0012764072,0.064445734,0.02752471,0.009081304,0.0034211024,0.07896968,0.9176092
374,0.026323281,-0.00082714856,-0.00069252006,0.064415455,0.02752608,0.0090738535,0.0034216605,0.07895592,0.91762245
375,0.026180767,-0.0032668859,-0.0015476679,0.06488037,0.027749658,0.009187043,0.003461148,0.07931522,0.91722363
376,0.025996052,-0.003286317,-0.0013852452,0.06500161,0.027808964,0.009214938,0.0034733736,0.07942786,0.91709876
377,0.025841795,-0.003980711,-0.001592133,0.064887345,0.027733803,0.00918591,0.0034608825,0.07934088,0.91719824
378,0.025885664,-0.0027529746,-0.0011382436,0.064661264,0.027624607,0.0091305375,0.0034418306,0.07916885,0.91738933
379,0.02566906,-0.005072549,-0.0019277667,0.06481719,0.027678132,0.009167492,0.0034518095,0.079286486,0.9172617
380,0.025174342,-0.0061459094,-0.0021684503,0.063926995,0.027165413,0.008947074,0.0033643902,0.07859622,0.9180394
381,0.024933062,-0.0069022924,-0.0023237204,0.063845634,0.027105093,0.008925557,0.003355331,0.07854168,0.918103
382,0.024557136,-0.006400779,-0.0021857356,0.06194371,0.026070595,0.008468032,0.0031770475,0.07702569,0.91979724
383,0.024935447,-0.0039637834,-0.0014119481,0.062019825,0.026148021,0.008488238,0.0031889018,0.0770843,0.9197268
384,0.024585508,-0.0061300546,-0.0023455953,0.060588956,0.025348544,0.008150876,0.003051795,0.075908564,0.92103964
385,0.024636649,-0.0052682906,-0.00193933,0.060941577,0.025546849,0.008232951,0.003086132,0.0762057,0.9207082
386,0.024786256,-0.0044673234,-0.001765046,0.060735643,0.025449157,0.008186042,0.0030685116,0.07603202,0.9208995
387,0.024769925,-0.005116537,-0.0020308828,0.06073004,0.02543956,0.00818485,0.0030666082,0.07602169,0.9209117
388,0.024589263,-0.004986599,-0.0020131802,0.059847713,0.024963975,0.007979095,0.0029863187,0.0753046,0.92170906
389,0.02494552,-0.003593877,-0.0015414094,0.06063527,0.025408983,0.00816375,0.0030608075,0.07594564,0.9209935
390,0.025217019,-0.0035498887,-0.001571629,0.06145531,0.025858104,0.008357644,0.0031363654,0.07660194,0.92026174
391,0.025334619,-0.003997043,-0.0016769504,0.062340558,0.026334226,0.00856775,0.00321809,0.077314615,0.9194673
392,0.025235556,-0.0048028976,-0.0019029116,0.06257534,0.026449561,0.008623004,0.0032386114,0.07750592,0.9192555
393,0.024761938,-0.0062064677,-0.0023631786,0.061455846,0.025817573,0.0083550215,0.0031314606,0.076610066,0.92025846
394,0.025032125,-0.004382089,-0.0016200875,0.06232071,0.026309252,0.008560598,0.0032160047,0.07731861,0.91946536
395,0.025378726,-0.0029055625,-0.0012331342,0.062430203,0.026394725,0.008589029,0.0032289552,0.07739644,0.9193746
396,0.025604807,-0.00223203,-0.0011233424,0.06236303,0.02637285,0.008574724,0.0032236641,0.07733045,0.91944593
397,0.025532506,-0.0039308816,-0.0017232632,0.062726796,0.026550233,0.00866127,0.0032543011,0.07761515,0.91913056
398,0.025546037,-0.0033776313,-0.0014492606,0.06299591,0.02670163,0.008725464,0.0032810986,0.07783971,0.9188792
399,0.025323771,-0.004503444,-0.0018818115,0.062431395,0.026377857,0.008589566,0.003225492,0.07738434,0.9193902
400,0.025097392,-0.005034283,-0.0019843911,0.062169194,0.02622354,0.00852561,0.0032000865,0.07718202,0.9196179
401,0.025013648,-0.0051698238,-0.0019728278,0.062201977,0.026237011,0.008532703,0.0032030463,0.07721419,0.9195828
402,0.025035165,-0.0051826984,-0.0019193029,0.06256342,0.026432455,0.008618593,0.0032370526,0.07750825,0.91925466
403,0.02526524,-0.004563287,-0.0016434526,0.06348711,0.026945949,0.008841217,0.0033258002,0.07824931,0.91842484
404,0.025308333,-0.004039243,-0.0015338396,0.063044906,0.026713312,0.008735299,0.0032847677,0.07789171,0.91882354
405,0.025459193,-0.0025040656,-0.0011335348,0.062314093,0.026338816,0.008561909,0.0032187589,0.07729921,0.9194821
406,0.025538348,-0.0022913963,-0.0012342071,0.061666906,0.025994837,0.00840956,0.003158255,0.07676397,0.9200778
407,0.025405549,-0.004195407,-0.0018681025,0.062084198,0.026196599,0.008507729,0.0031933475,0.07709665,0.91971004
408,0.025562964,-0.0020911247,-0.0010951494,0.062096596,0.026229024,0.008511245,0.0031989508,0.0771171,0.91968393
409,0.025459431,-0.004497364,-0.0019690131,0.06254327,0.026442945,0.008617401,0.0032357422,0.07746489,0.9192994
